"","CorDatX","CorC","CorDatY"
"1","MCP1","1","0.946581"
"2","IL6","1","0.992995"
"3","IL8","1","0.998091"
"4","MMP3","1","0.835071"
"5","Activin A","1","0.971959"
"6","TSG6","1",NA
"7","TIMP1","1","0.812848"
"8","TGFb1","1","0.947648"
"9","FGF2","1","0.0572412"
"10","MCP1","2","0.954461"
"11","IL6","2","0.995433"
"12","IL8","2","0.998768"
"13","MMP3","2","0.804882"
"14","Activin A","2","0.976278"
"15","TSG6","2",NA
"16","TIMP1","2","0.836292"
"17","TGFb1","2","0.960187"
"18","FGF2","2","0.192633"
"19","MCP1","3","0.965243"
"20","IL6","3","0.994068"
"21","IL8","3","0.99862"
"22","MMP3","3","0.825971"
"23","Activin A","3","0.982727"
"24","TSG6","3",NA
"25","TIMP1","3","0.921625"
"26","TGFb1","3","0.967688"
"27","FGF2","3","0.00841085"
"28","MCP1","4","0.551997"
"29","IL6","4","0.589986"
"30","IL8","4","0.897393"
"31","MMP3","4","0.723147"
"32","Activin A","4","0.23677"
"33","TSG6","4",NA
"34","TIMP1","4","0.0840669"
"35","TGFb1","4","0.805558"
"36","FGF2","4","-0.627485"
"37","MCP1","5","0.54949"
"38","IL6","5","0.586208"
"39","IL8","5","0.890098"
"40","MMP3","5","0.702466"
"41","Activin A","5","0.22965"
"42","TSG6","5",NA
"43","TIMP1","5","0.105088"
"44","TGFb1","5","0.805175"
"45","FGF2","5","-0.632312"
"46","MCP1","6","0.965685"
"47","IL6","6","0.994063"
"48","IL8","6","0.998487"
"49","MMP3","6","0.802562"
"50","Activin A","6","0.982502"
"51","TSG6","6",NA
"52","TIMP1","6","0.903033"
"53","TGFb1","6","0.970019"
"54","FGF2","6","-0.028221"
